what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587754512381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587754516951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587755540948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756010813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756694081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756700431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756741021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756747041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756748256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756749720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756812107
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1587756817218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1587756818758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756820064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756822362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587756828872
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587756840163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587756844161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756852557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756873618
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587756873627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756877024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756891331
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587756896396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756913356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756933570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587756946255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757048830
