,source_term,mapped_term,confidence_score
0,arrivalTime,arrival_time,7
1,arrivalTime,departure_time,3
2,destinationZone,routes,2
3,destinationZone,zone_id,4
4,destinationZone,destination_id,6
5,destinationZone,location_type,2
6,startTime,stop_time,1
7,startTime,start_date,4
8,longName,route_long_name,2
9,longName,agency_name,1
10,longName,stop_name,1
11,longName,route_short_name,1
12,longName,trip_short_name,1
13,longName,agency_id,2
14,longName,stop_id,2
15,longName,service_id,3
16,longName,direction_id,1
17,longName,block_id,1
18,longName,shape_id,2
19,longName,origin_id,1
20,longName,contains_id,1
21,TransfersAllowedType,transfers,5
22,TransfersAllowedType,transfer_duration,1
23,TransfersAllowedType,stops,1
24,OneTransfersAllowed,transfers,5
25,OneTransfersAllowed,transfer_duration,1
26,OneTransfersAllowed,stops,1
27,monday,monday,16
28,monday,tuesday,16
29,monday,wednesday,16
30,monday,thursday,16
31,monday,friday,16
32,monday,saturday,16
33,monday,sunday,16
34,CalendarDateRule,calendar,17
35,CalendarDateRule,fare_rule,1
36,Station,parent_station,15
37,thursday,monday,16
38,thursday,tuesday,16
39,thursday,wednesday,16
40,thursday,thursday,16
41,thursday,friday,16
42,thursday,saturday,16
43,thursday,sunday,16
44,pickupType,pickup_type,8
45,BeforeBoarding,wheelchair_boarding,4
46,minimumTransferTime,transfers,4
47,minimumTransferTime,transfer_duration,1
48,routeType,routes,10
49,routeType,route,92
50,routeType,destination_id,1
51,trip,trips,16
52,trip,trip,51
53,trip,shape_dist_traveled,4
54,code,stop_code,11
55,code,fare_rules,1
56,Route,routes,2
57,Route,route,8
58,wednesday,monday,16
59,wednesday,tuesday,16
60,wednesday,wednesday,16
61,wednesday,thursday,16
62,wednesday,friday,16
63,wednesday,saturday,16
64,wednesday,sunday,16
65,stopSequence,stops,5
66,stopSequence,stop,64
67,CalendarRule,calendar,16
68,CalendarRule,fare_rule,1
69,CalendarRule,fare_rules,1
70,EnsuredTransfer,transfers,9
71,EnsuredTransfer,transfer_duration,2
72,NotWheelchairAccessible,wheelchair_accessible,6
73,NotWheelchairAccessible,wheelchair_boarding,3
74,agency,agencies,9
75,agency,agency,52
76,dropOffType,drop_off_type,5
77,wheelchairAccessible,wheelchair_boarding,9
78,wheelchairAccessible,wheelchair_accessible,11
79,wheelchairAccessible,bikes_allowed,3
80,WheelchairAccessible,wheelchair_boarding,5
81,WheelchairAccessible,wheelchair_accessible,8
82,Service,service,16
83,UnlimitedTransfersAllowed,transfers,5
84,UnlimitedTransfersAllowed,transfer_duration,1
85,endTime,end_date,4
86,destinationStop,stops,5
87,destinationStop,stop,63
88,destinationStop,routes,2
89,destinationStop,destination_id,6
90,destinationStop,location_type,2
91,RecommendedTransfer,transfers,4
92,RecommendedTransfer,transfer_duration,1
93,shape,shape,58
94,shape,shapes,4
95,FareClass,fare_attributes,2
96,FareClass,fare_attribute,2
97,FareClass,fare_rules,2
98,FareClass,fare_rule,2
99,FareClass,agency_fare_url,1
100,FareClass,fare_id,4
101,FareClass,agency_id,2
102,FareClass,stop_id,2
103,FareClass,service_id,3
104,FareClass,direction_id,1
105,FareClass,block_id,1
106,FareClass,shape_id,2
107,FareClass,origin_id,1
108,FareClass,contains_id,1
109,DropOffType,drop_off_type,1
110,timeZone,zone_id,8
111,sunday,monday,16
112,sunday,tuesday,16
113,sunday,wednesday,16
114,sunday,thursday,16
115,sunday,friday,16
116,sunday,saturday,16
117,sunday,sunday,16
118,sunday,shape_pt_lat,3
119,paymentMethod,payment_method,10
120,originStop,stop_desc,4
121,originStop,origin_id,5
122,originStop,stops,1
123,originStop,stop,13
124,Stop,stops,6
125,Stop,stop,82
126,departureTime,arrival_time,3
127,departureTime,departure_time,9
128,zone,zone_id,11
129,zone,agency_id,2
130,zone,stop_id,2
131,zone,service_id,3
132,zone,direction_id,1
133,zone,block_id,1
134,zone,shape_id,2
135,zone,origin_id,1
136,zone,contains_id,1
137,MustPhone,agency_phone,3
138,serviceRule,service,15
139,serviceRule,fare_rule,1
140,WheelchairBoardingStatus,wheelchair_boarding,5
141,WheelchairBoardingStatus,wheelchair_accessible,3
142,shortName,route_short_name,5
143,shortName,trip_short_name,3
144,shortName,agency_name,1
145,shortName,stop_name,1
146,shortName,route_long_name,1
147,route,routes,11
148,route,route,108
149,route,destination_id,1
150,color,route_color,13
151,color,shapes,2
152,color,shape,1
153,transfers,transfers,16
154,transfers,transfer_duration,7
155,NoTransfer,transfers,9
156,NoTransfer,transfer_duration,2
157,direction,direction_id,6
158,TransferType,transfers,4
159,TransferType,transfer_duration,1
160,TransferType,agency_id,2
161,TransferType,stop_id,2
162,TransferType,service_id,3
163,TransferType,direction_id,1
164,TransferType,block_id,1
165,TransferType,shape_id,2
166,TransferType,origin_id,1
167,TransferType,contains_id,1
168,originZone,origin_id,4
169,originZone,zone_id,3
170,NotAvailable,wheelchair_accessible,1
171,stop,stops,12
172,stop,stop,105
173,transferExpiryTime,transfers,1
174,transferExpiryTime,transfer_duration,1
175,PickupType,pickup_type,2
176,PickupType,agency_id,2
177,PickupType,stop_id,2
178,PickupType,service_id,3
179,PickupType,direction_id,1
180,PickupType,block_id,1
181,PickupType,shape_id,2
182,PickupType,origin_id,1
183,PickupType,contains_id,1
184,Zone,zone_id,5
185,NoTransfersAllowed,transfers,5
186,NoTransfersAllowed,transfer_duration,1
187,block,block_id,7
188,block,agency_id,2
189,block,stop_id,2
190,block,service_id,3
191,block,direction_id,1
192,block,shape_id,2
193,block,pickup_type,1
194,block,origin_id,1
195,block,contains_id,1
196,Agency,agencies,2
197,Agency,agency,20
198,dateAddition,calendar_date,4
199,dateAddition,start_date,4
200,dateAddition,end_date,4
201,dateAddition,date,6
202,dateAddition,calendar_dates,2
203,service,service,32
204,saturday,monday,16
205,saturday,tuesday,16
206,saturday,wednesday,16
207,saturday,thursday,16
208,saturday,friday,16
209,saturday,saturday,16
210,saturday,sunday,16
211,saturday,shape_pt_lat,3
212,PaymentMethod,payment_method,8
213,fareUrl,fare_attributes,8
214,fareUrl,fare_attribute,8
215,fareUrl,fare_rules,8
216,fareUrl,fare_rule,8
217,fareUrl,agency_fare_url,5
218,fareUrl,fare_id,16
219,TwoTransfersAllowed,transfers,5
220,TwoTransfersAllowed,transfer_duration,1
221,TwoTransfersAllowed,stops,1
222,TransferRule,transfers,9
223,TransferRule,fare_rule,1
224,TransferRule,transfer_duration,2
225,transferType,transfers,11
226,transferType,transfer_duration,5
227,tuesday,monday,16
228,tuesday,tuesday,16
229,tuesday,wednesday,16
230,tuesday,thursday,16
231,tuesday,friday,16
232,tuesday,saturday,16
233,tuesday,sunday,16
234,friday,monday,16
235,friday,tuesday,16
236,friday,wednesday,16
237,friday,thursday,16
238,friday,friday,16
239,friday,saturday,16
240,friday,sunday,16
241,MinimumTimeTransfer,transfers,4
242,MinimumTimeTransfer,transfer_duration,1
243,bikesAllowed,bikes_allowed,12
244,bikesAllowed,wheelchair_boarding,2
245,bikesAllowed,wheelchair_accessible,2
246,Trip,trips,10
247,Trip,trip,31
248,Trip,shape_dist_traveled,2
249,textColor,route_color,12
250,ServiceRule,fare_rule,1
251,FareRule,fare_rules,4
252,FareRule,fare_rule,5
253,FareRule,fare_attributes,3
254,FareRule,fare_attribute,3
255,FareRule,agency_fare_url,1
256,FareRule,fare_id,6

