NotAvailable | individual | DropOffType
LightRail | individual | RouteType
Ferry | individual | RouteType
CheckParentStation | individual | WheelchairBoardingStatus
OneTransfersAllowed | individual | TransfersAllowedType
UnlimitedTransfersAllowed | individual | TransfersAllowedType
MustCoordinateWithDriver | individual | DropOffType
WheelchairAccessible | individual | WheelchairBoardingStatus
OnBoard | individual | PaymentMethod
NotWheelchairAccessible | individual | WheelchairBoardingStatus
MinimumTimeTransfer | individual | TransferType
Rail | individual | RouteType
MustCoordinateWithDriver | individual | PickupType
NoTransfersAllowed | individual | TransfersAllowedType
CableCar | individual | RouteType
EnsuredTransfer | individual | TransferType
Funicular | individual | RouteType
MustPhone | individual | PickupType
Subway | individual | RouteType
Regular | individual | PickupType
RecommendedTransfer | individual | TransferType
NoTransfer | individual | TransferType
MustPhone | individual | DropOffType
BeforeBoarding | individual | PaymentMethod
Regular | individual | DropOffType
NotAvailable | individual | PickupType
Bus | individual | RouteType
TwoTransfersAllowed | individual | TransfersAllowedType
Gondola | individual | RouteType
