Subject,Object
gtfs:Trip,rdfs:Class
gtfs:TransferRule,rdfs:Class
gtfs:DropOffType,rdfs:Class
gtfs:ServiceRule,rdfs:Class
gtfs:RouteType,rdfs:Class
gtfs:Frequency,rdfs:Class
gtfs:Route,rdfs:Class
gtfs:Agency,rdfs:Class
gtfs:Service,rdfs:Class
gtfs:FareClass,rdfs:Class
gtfs:Station,rdfs:Class
gtfs:Zone,rdfs:Class
gtfs:CalendarDateRule,rdfs:Class
gtfs:CalendarRule,rdfs:Class
gtfs:PickupType,rdfs:Class
gtfs:TransferType,rdfs:Class
gtfs:StopTime,rdfs:Class
gtfs:Shape,rdfs:Class
gtfs:PaymentMethod,rdfs:Class
gtfs:FareRule,rdfs:Class
gtfs:WheelchairBoardingStatus,rdfs:Class
gtfs:TransfersAllowedType,rdfs:Class
gtfs:Stop,rdfs:Class
gtfs:Feed,rdfs:Class
gtfs:ShapePoint,rdfs:Class
gtfs:originZone,rdf:Property
gtfs:stopSequence,rdf:Property
gtfs:arrivalTime,rdf:Property
gtfs:originStop,rdf:Property
gtfs:routeType,rdf:Property
gtfs:departureTime,rdf:Property
gtfs:transferExpiryTime,rdf:Property
gtfs:minimumTransferTime,rdf:Property
gtfs:dropOffType,rdf:Property
gtfs:fareUrl,rdf:Property
gtfs:stop,rdf:Property
gtfs:agency,rdf:Property
gtfs:trip,rdf:Property
gtfs:distanceTraveled,rdf:Property
gtfs:headsign,rdf:Property
gtfs:block,rdf:Property
gtfs:route,rdf:Property
gtfs:startTime,rdf:Property
gtfs:direction,rdf:Property
gtfs:wednesday,rdf:Property
gtfs:destinationStop,rdf:Property
gtfs:transferType,rdf:Property
gtfs:timeZone,rdf:Property
gtfs:parentStation,rdf:Property
gtfs:sunday,rdf:Property
gtfs:saturday,rdf:Property
gtfs:usesExactTimes,rdf:Property
gtfs:pointSequence,rdf:Property
gtfs:longName,rdf:Property
gtfs:bikesAllowed,rdf:Property
gtfs:tuesday,rdf:Property
gtfs:endTime,rdf:Property
gtfs:pickupType,rdf:Property
gtfs:code,rdf:Property
gtfs:textColor,rdf:Property
gtfs:monday,rdf:Property
gtfs:zone,rdf:Property
gtfs:comment,rdf:Property
gtfs:shortName,rdf:Property
gtfs:dateAddition,rdf:Property
gtfs:destinationZone,rdf:Property
gtfs:thursday,rdf:Property
gtfs:serviceRule,rdf:Property
gtfs:paymentMethod,rdf:Property
gtfs:transfers,rdf:Property
gtfs:color,rdf:Property
gtfs:friday,rdf:Property
gtfs:shapePoint,rdf:Property
gtfs:wheelchairAccessible,rdf:Property
gtfs:service,rdf:Property
gtfs:shape,rdf:Property
gtfs:headwaySeconds,rdf:Property
